seed,family,dataset,train_rel,noise_setting,run_name,run_leaf,beta,lambda_gold,epoch,train_loss,test_loss,loss_gap_test_minus_train
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg02,blur_3p0_beta08_lg02,0.8,0.2,2,0.8920963991,2.072440636,1.180344237
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg02,blur_3p0_beta08_lg02,0.8,0.2,3,0.7544964738,2.102501798,1.348005324
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg02,blur_3p0_beta08_lg02,0.8,0.2,4,0.6604500421,1.965584313,1.30513427
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg02,blur_3p0_beta08_lg02,0.8,0.2,5,0.5738923131,2.04356047,1.469668157
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg02,blur_3p0_beta08_lg02,0.8,0.2,6,0.529376163,2.08582452,1.556448357
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg02,blur_3p0_beta08_lg02,0.8,0.2,7,0.4805760294,1.822018295,1.341442266
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg02,blur_3p0_beta08_lg02,0.8,0.2,8,0.4295569447,2.052430746,1.622873801
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg02,blur_3p0_beta08_lg02,0.8,0.2,9,0.3883541672,1.807359849,1.419005682
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg02,blur_3p0_beta08_lg02,0.8,0.2,10,0.3462125453,1.807661485,1.461448939
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg02,blur_3p0_beta08_lg02,0.8,0.2,11,0.3188374312,1.854541961,1.53570453
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg02,blur_3p0_beta08_lg02,0.8,0.2,12,0.2995754229,1.791365092,1.49178967
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta09_lg01,blur_3p0_beta09_lg01,0.9,0.1,1,0.8643538491,2.531475186,1.667121337
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta09_lg01,blur_3p0_beta09_lg01,0.9,0.1,2,0.6649208178,2.097597722,1.432676904
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta09_lg01,blur_3p0_beta09_lg01,0.9,0.1,3,0.5676380321,2.148596854,1.580958822
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta09_lg01,blur_3p0_beta09_lg01,0.9,0.1,4,0.5046501793,1.942086756,1.437436577
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta09_lg01,blur_3p0_beta09_lg01,0.9,0.1,5,0.4426287841,1.959891944,1.517263159
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta09_lg01,blur_3p0_beta09_lg01,0.9,0.1,6,0.4114868177,2.059181542,1.647694724
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta09_lg01,blur_3p0_beta09_lg01,0.9,0.1,7,0.3774956878,1.865049209,1.487553521
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_0p75_method_beta08_lg01,brightness_0p75_method_beta08_lg01,0.8,0.1,1,1.003080926,2.435151109,1.432070183
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_0p75_method_beta08_lg01,brightness_0p75_method_beta08_lg01,0.8,0.1,2,0.7678206057,2.066413515,1.298592909
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_0p75_method_beta08_lg01,brightness_0p75_method_beta08_lg01,0.8,0.1,3,0.6583333636,2.077451467,1.419118103
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_0p75_method_beta08_lg01,brightness_0p75_method_beta08_lg01,0.8,0.1,4,0.5803185207,1.867130154,1.286811633
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_0p75_method_beta08_lg01,brightness_0p75_method_beta08_lg01,0.8,0.1,5,0.5117252803,1.83566154,1.32393626
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_0p75_method_beta08_lg01,brightness_0p75_method_beta08_lg01,0.8,0.1,6,0.4714038903,1.849584254,1.378180364
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_0p75_method_beta08_lg01,brightness_0p75_method_beta08_lg01,0.8,0.1,7,0.4342545752,1.662246114,1.227991539
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta02_lg01,brightness_0p75_beta02_lg01,0.2,0.1,1,2.237659481,2.442479206,0.2048197248
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta02_lg01,brightness_0p75_beta02_lg01,0.2,0.1,2,1.736030947,2.044288522,0.3082575749
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta02_lg01,brightness_0p75_beta02_lg01,0.2,0.1,3,1.50426536,2.090636602,0.5863712415
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta02_lg01,brightness_0p75_beta02_lg01,0.2,0.1,4,1.336871345,1.884727895,0.5478565496
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta02_lg01,brightness_0p75_beta02_lg01,0.2,0.1,5,1.184419911,1.758759203,0.5743392928
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta02_lg01,brightness_0p75_beta02_lg01,0.2,0.1,6,1.093180649,1.82037473,0.7271940812
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta02_lg01,brightness_0p75_beta02_lg01,0.2,0.1,7,1.012943127,1.754376087,0.741432961
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta05_lg01,brightness_0p75_beta05_lg01,0.5,0.1,1,1.617415101,2.411226192,0.793811091
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta05_lg01,brightness_0p75_beta05_lg01,0.5,0.1,2,1.245448287,2.085882523,0.8404342363
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta05_lg01,brightness_0p75_beta05_lg01,0.5,0.1,3,1.083913393,2.080652635,0.9967392418
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta05_lg01,brightness_0p75_beta05_lg01,0.5,0.1,4,0.9611703695,1.836857445,0.8756870753
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta05_lg01,brightness_0p75_beta05_lg01,0.5,0.1,5,0.8430862422,1.77737854,0.9342922973
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta05_lg01,brightness_0p75_beta05_lg01,0.5,0.1,6,0.7834747289,1.788938912,1.005464184
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta05_lg01,brightness_0p75_beta05_lg01,0.5,0.1,7,0.7232003107,1.705899716,0.9826994054
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta08_lg005,brightness_0p75_beta08_lg005,0.8,0.05,1,0.9334944767,2.422639371,1.489144894
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta08_lg005,brightness_0p75_beta08_lg005,0.8,0.05,2,0.7143280356,2.118917407,1.404589371
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta08_lg005,brightness_0p75_beta08_lg005,0.8,0.05,3,0.6173390749,2.166351694,1.549012619
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta08_lg005,brightness_0p75_beta08_lg005,0.8,0.05,4,0.5476670309,1.919933583,1.372266552
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta08_lg005,brightness_0p75_beta08_lg005,0.8,0.05,5,0.4863826843,1.826775009,1.340392325
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta08_lg005,brightness_0p75_beta08_lg005,0.8,0.05,6,0.4491182935,1.855041646,1.405923352
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta08_lg005,brightness_0p75_beta08_lg005,0.8,0.05,7,0.419216025,1.769509878,1.350293853
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta08_lg015,brightness_0p75_beta08_lg015,0.8,0.15,1,1.073122456,2.426588504,1.353466047
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta08_lg015,brightness_0p75_beta08_lg015,0.8,0.15,2,0.814514637,2.02179805,1.207283413
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta08_lg015,brightness_0p75_beta08_lg015,0.8,0.15,3,0.6928997904,2.029942321,1.33704253
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta08_lg015,brightness_0p75_beta08_lg015,0.8,0.15,4,0.6064476177,1.836763629,1.230316012
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta08_lg015,brightness_0p75_beta08_lg015,0.8,0.15,5,0.5305033136,1.848811995,1.318308682
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta08_lg015,brightness_0p75_beta08_lg015,0.8,0.15,6,0.4864931532,1.827313612,1.340820459
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta08_lg015,brightness_0p75_beta08_lg015,0.8,0.15,7,0.4464499124,1.649996453,1.203546541
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta08_lg02,brightness_0p75_beta08_lg02,0.8,0.2,1,1.140513547,2.412378381,1.271864834
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta08_lg02,brightness_0p75_beta08_lg02,0.8,0.2,2,0.8597722069,2.08513338,1.225361173
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta08_lg02,brightness_0p75_beta08_lg02,0.8,0.2,3,0.7259652759,2.053137993,1.327172717
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta08_lg02,brightness_0p75_beta08_lg02,0.8,0.2,4,0.6295060746,1.897343848,1.267837774
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta08_lg02,brightness_0p75_beta08_lg02,0.8,0.2,5,0.5484670917,1.868714771,1.320247679
