family,dataset,train_rel,noise_setting,run_name,run_leaf,beta,lambda_gold,epoch,n,train_loss_mean,train_loss_std,test_loss_mean,test_loss_std,loss_gap_mean,loss_gap_std
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta02_lg01,blur_3p0_beta02_lg01,0.2,0.1,10,2,0.7258031195,0.02857918166,1.650575065,0.0225501776,0.924771946,0.05112935869
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta02_lg01,blur_3p0_beta02_lg01,0.2,0.1,11,2,0.645737806,0.01505169634,1.691805072,0.06460412163,1.046067266,0.04955242607
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta02_lg01,blur_3p0_beta02_lg01,0.2,0.1,12,1,0.5777067651,,1.593420326,,1.015713561,
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta02_lg01,blur_3p0_beta02_lg01,0.2,0.1,13,1,0.5265086602,,1.652555437,,1.126046777,
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta02_lg01,blur_3p0_beta02_lg01,0.2,0.1,14,1,0.4837823567,,1.702332278,,1.218549921,
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta02_lg01,blur_3p0_beta02_lg01,0.2,0.1,2,3,1.700691363,0.08371531465,2.136312603,0.06290360819,0.4356212399,0.09800310379
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta02_lg01,blur_3p0_beta02_lg01,0.2,0.1,3,3,1.476414256,0.08192751019,2.106785598,0.2075002995,0.6303713411,0.1366202632
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta02_lg01,blur_3p0_beta02_lg01,0.2,0.1,4,3,1.315795492,0.07497883818,1.896015734,0.03307659531,0.5802202421,0.04635473285
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta02_lg01,blur_3p0_beta02_lg01,0.2,0.1,5,3,1.176196798,0.06176928153,1.853980904,0.1665921228,0.6777841063,0.1093538378
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta02_lg01,blur_3p0_beta02_lg01,0.2,0.1,6,3,1.066787923,0.07747308347,1.907445994,0.1458803148,0.840658071,0.1125003612
