family,dataset,train_rel,noise_setting,run_name,run_leaf,beta,lambda_gold,n,selected_acc_mean,selected_acc_std,peak_acc_mean,peak_acc_std,final_acc_mean,final_acc_std,selected_epoch_mean,selected_epoch_std
ggcl,Flower_102,label_noise/label_shuffle_0p2,label_shuffle_0p2,label_noise/label_shuffle/label_ablations/label_shuffle_0p2_beta095_lg015,label_shuffle_0p2_beta095_lg015,0.95,0.15,3,0.5683160252,0.0341452268,0.5734066382,0.02871972038,0.5695377723,0.0232640453,11.33333333,5.507570547
ggcl,Flower_102,label_noise/label_shuffle_0p2,label_shuffle_0p2,label_noise/label_shuffle/label_ablations/label_shuffle_0p2_beta09_lg01,label_shuffle_0p2_beta09_lg01,0.9,0.1,3,0.578090002,0.008559498903,0.5862349827,0.01330433413,0.5764610059,0.004937632113,13,2
ggcl,Flower_102,label_noise/label_shuffle_0p2,label_shuffle_0p2,label_noise/label_shuffle/label_ablations/label_shuffle_0p2_beta10_lg01,label_shuffle_0p2_beta10_lg01,1,0.1,3,0.5609855427,0.03419982717,0.5727957646,0.02487638306,0.5642435349,0.02586191687,10,5
ggcl,Flower_102,label_noise/label_shuffle_0p2,label_shuffle_0p2,label_noise/label_shuffle/label_shuffle_0p2_method_beta095_lg01,label_shuffle_0p2_method_beta095_lg01,0.95,0.1,3,0.5506006923,0.04889405837,0.5750356343,0.03643968676,0.5628181633,0.02820842697,10,4.582575695
ggcl,STL,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_3p0_method_beta09_lg015,blur_3p0_method_beta09_lg015,0.9,0.15,3,0.6316666667,0.003928603448,0.6326923077,0.005691787918,0.6088461538,0.02913191787,3,2.645751311
ggcl,STL,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta02_lg01,blur_3p0_beta02_lg01,0.2,0.1,3,0.5988461538,0.01827226695,0.5988461538,0.01827226695,0.5341025641,0.03904240854,1.666666667,0.5773502692
ggcl,STL,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta05_lg01,blur_3p0_beta05_lg01,0.5,0.1,3,0.6184615385,0.01470116527,0.6215384615,0.02001848258,0.6065384615,0.033905106,3.666666667,1.527525232
ggcl,STL,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta085_lg01,blur_3p0_beta085_lg01,0.85,0.1,3,0.6217948718,0.009625635561,0.6234615385,0.007185208343,0.5926923077,0.003668996929,2.333333333,1.527525232
ggcl,STL,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta09_lg0075,blur_3p0_beta09_lg0075,0.9,0.075,3,0.63,0.02060117191,0.63,0.02060117191,0.6147435897,0.0337987722,4,1.732050808
ggcl,STL,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta09_lg01,blur_3p0_beta09_lg01,0.9,0.1,3,0.6361538462,0.006354889093,0.6371794872,0.007978645068,0.5971794872,0.04288475911,3.666666667,1.527525232
ggcl,STL,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_0p75_method_beta09_lg01,brightness_0p75_method_beta09_lg01,0.9,0.1,3,0.7319230769,0.01057517468,0.743974359,0.009136808104,0.7276923077,0.02096418473,11.33333333,2.081665999
