family,dataset,train_rel,noise_setting,run_name,run_leaf,beta,lambda_gold,n,selected_acc_mean,selected_acc_std,peak_acc_mean,peak_acc_std,final_acc_mean,final_acc_std,selected_epoch_mean,selected_epoch_std
supplemental_ablation,STL,feature_noise/brightness_0p75,brightness_0p75,beta10/feature_noise/brightness/brightness_0p75_beta10_lg01,brightness_0p75_beta10_lg01,1,0.1,3,0.7016666667,0.006883791671,0.7179487179,0.004620723408,0.7016666667,0.03218459455,6.333333333,1.154700538
supplemental_ablation,STL,feature_noise/gaussian_30p0,gaussian_30p0,beta10/feature_noise/gaussian/gaussian_30p0_beta10_lg015,gaussian_30p0_beta10_lg015,1,0.15,3,0.653974359,0.01504103526,0.6579487179,0.01324738075,0.6520512821,0.01504103526,4.666666667,0.5773502692
supplemental_ablation,STL,label_noise/label_shuffle_0p2,label_shuffle_0p2,beta10/label_noise/label_shuffle/label_shuffle_0p2_beta10_lg025,label_shuffle_0p2_beta10_lg025,1,0.25,3,0.7188461538,0.004910440513,0.7197435897,0.004620723408,0.7116666667,0.001601281538,10.66666667,2.081665999
supplemental_ablation,STL,hybrid_noise/blur_3p0_label_shuffle_0p2,blur_3p0 + label_shuffle_0p2,beta10/hybrid_noise/blur_label_shuffle/blur_3p0_label_shuffle_0p2_beta10_lg025,blur_3p0_label_shuffle_0p2_beta10_lg025,1,0.25,3,0.6387179487,0.01839062234,0.6438461538,0.01490105433,0.6351282051,0.01773545463,2.333333333,1.527525232
supplemental_ablation,STL,hybrid_noise/brightness_0p75_label_shuffle_0p2,brightness_0p75 + label_shuffle_0p2,beta10/hybrid_noise/brightness_label_shuffle/brightness_0p75_label_shuffle_0p2_beta10_lg01,brightness_0p75_label_shuffle_0p2_beta10_lg01,1,0.1,3,0.6958974359,0.01006144829,0.6994871795,0.01595265431,0.696025641,0.01385327452,7.666666667,3.785938897
supplemental_ablation,STL,hybrid_noise/gaussian_30p0_label_shuffle_0p2,gaussian_30p0 + label_shuffle_0p2,beta10/hybrid_noise/gaussian_label_shuffle/gaussian_30p0_label_shuffle_0p2_beta10_lg015,gaussian_30p0_label_shuffle_0p2_beta10_lg015,1,0.15,3,0.6333333333,0.01927814677,0.6432051282,0.01402835955,0.6384615385,0.009820881027,4.333333333,1.527525232
supplemental_ablation,Flower_102,feature_noise/blur_3p0,blur_3p0,beta10/feature_noise/blur/blur_3p0_beta10_lg01,blur_3p0_beta10_lg01,1,0.1,3,0.5491753207,0.06227615404,0.5742211362,0.05683422529,0.5603746691,0.03560577152,7,4.358898944
supplemental_ablation,Flower_102,feature_noise/brightness_0p75,brightness_0p75,beta10/feature_noise/brightness/brightness_0p75_beta10_lg01,brightness_0p75_beta10_lg01,1,0.1,3,0.6110771737,0.0171625392,0.6271635105,0.01398798167,0.6241091427,0.01576874355,11.33333333,0.5773502692
supplemental_ablation,Flower_102,feature_noise/gaussian_30p0,gaussian_30p0,beta10/feature_noise/gaussian/gaussian_30p0_beta10_lg015,gaussian_30p0_beta10_lg015,1,0.15,3,0.5992669517,0.01239937882,0.6184076563,0.01039083757,0.6159641621,0.008316260581,9.666666667,2.309401077
supplemental_ablation,Flower_102,label_noise/label_shuffle_0p2,label_shuffle_0p2,beta10/label_noise/label_shuffle/label_shuffle_0p2_beta10_lg01,label_shuffle_0p2_beta10_lg01,1,0.1,3,0.5609855427,0.03419982717,0.5727957646,0.02487638306,0.5642435349,0.02586191687,10,5
supplemental_ablation,Flower_102,hybrid_noise/blur_3p0_label_shuffle_0p2,blur_3p0 + label_shuffle_0p2,beta10/hybrid_noise/blur_label_shuffle/blur_3p0_label_shuffle_0p2_beta10_lg01,blur_3p0_label_shuffle_0p2_beta10_lg01,1,0.1,3,0.5357361026,0.03579218589,0.5430665852,0.03146443558,0.5345143555,0.03313953816,9.666666667,3.785938897
supplemental_ablation,Flower_102,hybrid_noise/brightness_0p75_label_shuffle_0p2,brightness_0p75 + label_shuffle_0p2,beta10/hybrid_noise/brightness_label_shuffle/brightness_0p75_label_shuffle_0p2_beta10_lg01,brightness_0p75_label_shuffle_0p2_beta10_lg01,1,0.1,3,0.5495825697,0.02998470394,0.5556913052,0.02106702041,0.5440847078,0.01926270705,10.33333333,4.725815626
supplemental_ablation,Flower_102,hybrid_noise/gaussian_30p0_label_shuffle_0p2,gaussian_30p0 + label_shuffle_0p2,beta10/hybrid_noise/gaussian_label_shuffle/gaussian_30p0_label_shuffle_0p2_beta10_lg01,gaussian_30p0_label_shuffle_0p2_beta10_lg01,1,0.1,3,0.5632254123,0.02220254349,0.577682753,0.0192820698,0.5652616575,0.01887128038,14,3
